luogo,anno,alberghi_strutture,complementari_strutture,totale_strutture,alberghi_camere,complementari_camere,totale_camere,alberghi_letti,complementari_letti,totale_letti
Venezia,1997,194,62,256,6406,794,7200,11260,1695,12955
Venezia,1998,194,59,253,6403,789,7192,11342,1665,13007
Venezia,1999,197,68,265,6433,891,7324,11492,1931,13423
Venezia,2000,205,126,331,6615,1136,7751,11810,2438,14248
Venezia,2001,207,290,497,6674,1462,8136,12021,3255,15276
Venezia,2002,209,453,662,6687,1906,8593,12118,4188,16306
Venezia,2003,219,614,833,7149,2569,9718,13099,5509,18608
Venezia,2004,221,640,861,7441,2592,10033,13728,5710,19438
Venezia,2005,226,782,1008,7338,2910,10248,13512,6259,19771
Venezia,2006,233,1146,1379,7484,3628,11112,13793,7751,21544
Venezia,2007,249,1408,1657,8563,4132,12695,16015,9218,25233
Venezia,2008,252,2020,2272,8252,5232,13484,15693,11758,27451
Venezia,2009,259,2128,2387,8324,5761,14085,15805,12004,27809
Venezia,2010,251,1981,2232,8555,5609,14164,16258,11582,27840
Venezia,2011,256,2103,2359,8587,5894,14481,16350,11863,28213
Venezia,2012,261,2335,2596,8839,6289,15128,16884,12589,29473
Venezia,2013,264,2483,2747,8838,6744,15582,16860,13433,30293
Venezia,2014,266,2543,2809,9098,6770,15868,17411,13302,30713
Venezia,2015,270,2889,3159,9495,7498,16993,18213,14683,32896
Venezia,2016,272,3218,3490,9396,8181,17577,18029,16077,34106
Venezia,2017,274,5535,5809,9548,12595,22143,18384,25301,43685
Mestre_Marghera,1997,87,26,113,3495,1356,4851,6047,2944,8991
Mestre_Marghera,1998,86,23,109,3410,1346,4756,5928,2926,8854
Mestre_Marghera,1999,85,22,107,3426,1335,4761,5980,2920,8900
Mestre_Marghera,2000,84,36,120,3412,1401,4813,5940,3014,8954
Mestre_Marghera,2001,83,53,136,3448,1373,4821,6013,3108,9121
Mestre_Marghera,2002,88,70,158,3820,1399,5219,6866,3170,10036
Mestre_Marghera,2003,90,86,176,3859,1436,5295,6943,3251,10194
Mestre_Marghera,2004,83,69,152,3743,1336,5079,6721,3095,9816
Mestre_Marghera,2005,85,76,161,3997,1433,5430,7230,3321,10551
Mestre_Marghera,2006,88,105,193,4152,1599,5751,7454,3600,11054
Mestre_Marghera,2007,95,128,223,4828,1858,6686,8738,2534,11272
Mestre_Marghera,2008,96,174,270,4323,1622,5945,8125,3913,12038
Mestre_Marghera,2009,100,199,299,4554,1804,6358,8150,4819,12969
Mestre_Marghera,2010,92,192,284,4772,2020,6792,8638,4886,13524
Mestre_Marghera,2011,95,210,305,4934,2107,7041,8930,4900,13830
Mestre_Marghera,2012,96,219,315,5312,2116,7428,9481,4902,14383
Mestre_Marghera,2013,95,250,345,4980,2013,6993,9083,4465,13548
Mestre_Marghera,2014,96,290,386,4967,2080,7047,9081,4608,13689
Mestre_Marghera,2015,95,356,451,4805,2200,7005,8771,4836,13607
Mestre_Marghera,2016,95,394,489,4809,2277,7086,8711,5514,14225
Mestre_Marghera,2017,96,381,477,5061,2390,7451,9164,6336,15500
Lido,1997,37,15,52,1659,229,1888,3059,610,3669
Lido,1998,36,15,51,1613,211,1824,3046,556,3602
Lido,1999,36,15,51,1542,216,1758,2992,606,3598
Lido,2000,37,21,58,1566,264,1830,3051,791,3842
Lido,2001,40,26,66,1630,310,1940,3223,850,4073
Lido,2002,40,33,73,1630,306,1936,3223,852,4075
Lido,2003,40,39,79,1630,324,1954,3223,905,4128
Lido,2004,37,25,62,1492,180,1672,2932,414,3346
Lido,2005,37,33,70,1492,266,1758,2932,606,3538
Lido,2006,38,46,84,1505,327,1832,2961,917,3878
Lido,2007,38,60,98,1842,396,2238,3639,1027,4666
Lido,2008,38,70,108,1501,362,1863,3188,897,4085
Lido,2009,38,74,112,1506,492,1998,3199,1100,4299
Lido,2010,36,69,105,1513,387,1900,3202,877,4079
Lido,2011,36,79,115,1511,365,1876,2997,788,3785
Lido,2012,36,86,122,1507,393,1900,3008,816,3824
Lido,2013,36,81,117,1504,355,1859,3019,759,3778
Lido,2014,36,90,126,1508,459,1967,3030,950,3980
Lido,2015,36,97,133,1508,478,1986,3031,979,4010
Lido,2016,36,94,130,1508,437,1945,3078,941,4019
Lido,2017,36,89,125,1555,380,1935,3167,865,4032